id,area,gender,age,age_group,year_of_school,degree,job,know_english,know_france,know_chinese,income
310,northern,male,52,middle,15,bachelor,officer,1,1,0,12240
311,central,male,67,middle,14,bachelor,sale,0,0,0,15960
312,central,male,66,middle,19,master,sale,0,0,0,29000
313,southern,male,40,middle,12,highshool,officer,1,0,0,8940
314,central,male,47,middle,12,highshool,sale,0,0,0,13500
315,central,male,65,middle,15,bachelor,officer,0,0,0,16440
316,central,male,66,middle,12,highshool,sale,0,0,0,13560
317,northern,male,41,middle,8,highshool,officer,0,0,0,10500
318,central,male,69,middle,15,bachelor,sale,0,0,0,17364
319,central,male,67,middle,17,master,sale,1,0,1,26000
320,northern,female,49,middle,15,bachelor,officer,0,0,0,11160
321,central,female,67,middle,16,master,sale,0,0,0,13800
322,central,male,,middle,16,master,sale,0,0,0,16920
323,central,male,36,youth,8,highshool,sale,1,1,0,12300
324,central,male,67,middle,15,bachelor,officer,1,0,1,18060
325,central,male,62,middle,15,bachelor,officer,0,0,0,12840
326,central,male,62,middle,12,highshool,sale,1,0,0,12360
327,central,male,68,middle,16,master,sale,,0,0,17460
328,northern,female,71,elder,12,highshool,sale,1,0,0,11040
329,southern,female,41,middle,8,highshool,officer,1,0,0,7860
330,northern,male,65,middle,15,bachelor,officer,1,0,0,12120
331,central,female,70,elder,16,master,sale,1,0,0,13140
332,northern,male,68,middle,12,highshool,officer,1,0,0,10080
333,northern,female,70,elder,12,highshool,officer,0,0,0,10680
334,northern,male,59,middle,12,highshool,sale,1,0,0,10980
335,northern,female,72,elder,12,highshool,officer,1,0,0,9720
336,northern,male,67,middle,15,bachelor,sale,0,0,0,11100
337,northern,female,72,elder,8,highshool,officer,1,0,0,9600
338,northern,male,67,middle,15,bachelor,officer,0,0,1,11760
339,central,male,68,middle,12,highshool,officer,0,0,0,12300
340,central,female,67,middle,16,master,sale,0,,0,15120
341,central,male,40,middle,21,master,manager,1,0,1,26000
342,northern,female,45,middle,8,highshool,officer,0,0,0,10080
343,central,male,67,middle,16,master,sale,1,0,1,18400
344,central,female,64,middle,16,master,officer,1,0,0,20400
345,central,male,69,middle,15,bachelor,officer,0,0,0,12660
346,central,male,68,middle,17,master,manager,1,1,1,34000
347,southern,male,42,middle,8,highshool,officer,0,0,0,8940
348,central,male,,middle,15,bachelor,sale,1,0,0,13560
349,northern,male,67,middle,12,highshool,officer,0,0,0,10740
350,southern,female,47,middle,8,highshool,officer,0,1,0,8340
351,central,male,67,middle,17,master,manager,0,0,0,27000
352,northern,female,43,middle,12,highshool,officer,0,0,0,9780
353,northern,male,33,youth,12,highshool,officer,0,0,0,10680
354,northern,male,69,middle,12,highshool,sale,,0,0,10980
355,central,male,71,elder,15,bachelor,officer,0,0,0,15120
356,northern,male,38,youth,8,highshool,sale,0,0,1,11400
357,southern,female,74,elder,12,highshool,sale,1,0,0,8640
358,southern,female,72,elder,12,highshool,sale,1,0,0,7860
359,northern,male,65,middle,12,highshool,sale,1,0,0,11040
360,southern,female,73,elder,12,highshool,sale,1,0,0,9120
361,northern,female,63,middle,15,bachelor,officer,0,0,0,10620
362,southern,female,,elder,12,highshool,sale,0,0,0,8820
363,southern,female,58,middle,12,highshool,officer,1,0,0,8340
364,central,male,43,middle,12,highshool,sale,0,0,0,12300
365,central,female,67,middle,16,master,officer,1,0,0,21600
366,southern,female,38,youth,8,highshool,officer,1,0,0,7920
367,central,male,54,middle,19,master,manager,0,0,0,24750
368,northern,female,70,elder,12,highshool,officer,0,0,0,11940
369,northern,female,50,middle,12,highshool,officer,0,0,0,9900
370,central,female,67,middle,16,master,sale,0,0,0,14640
371,southern,female,74,elder,12,highshool,sale,1,0,0,8700
372,central,female,68,middle,15,bachelor,sale,0,0,0,14820
373,central,male,65,middle,17,master,sale,1,0,1,
374,central,male,52,middle,19,master,manager,1,1,1,36800
375,northern,female,45,middle,12,highshool,officer,1,0,0,9360
376,southern,male,37,youth,15,bachelor,officer,1,1,0,9000
377,northern,female,72,elder,12,highshool,sale,0,1,0,10200
378,central,male,64,middle,16,master,manager,0,0,0,22620
379,central,male,58,middle,18,master,manager,0,0,0,20580
380,northern,female,71,elder,15,bachelor,sale,1,0,0,10200
381,central,male,51,middle,12,highshool,sale,1,0,1,12300
382,central,male,33,youth,8,highshool,sale,0,0,0,12780
383,northern,male,62,middle,15,bachelor,officer,1,0,0,10920
384,southern,female,35,youth,12,highshool,officer,0,1,0,6480
385,northern,female,72,elder,12,highshool,sale,1,0,0,9900
386,northern,male,43,middle,12,highshool,sale,0,0,0,12000
387,southern,female,72,elder,12,highshool,sale,0,0,0,7860
388,central,male,67,middle,15,bachelor,officer,0,0,0,16140
389,northern,female,64,middle,12,highshool,officer,0,0,0,9780
390,central,female,35,youth,12,highshool,sale,0,0,0,12600
391,southern,female,72,elder,12,highshool,sale,1,0,0,9060
392,northern,female,68,middle,15,bachelor,sale,1,0,0,10080
393,central,male,67,middle,19,master,sale,0,0,1,27250
394,southern,male,43,middle,12,highshool,officer,1,0,1,8880
395,southern,female,45,middle,12,highshool,officer,0,0,0,8760
396,central,male,65,middle,16,master,sale,0,0,0,18250
397,central,male,67,middle,18,master,sale,1,0,0,27250
398,southern,female,71,elder,12,highshool,sale,1,0,0,9180
399,northern,female,51,middle,12,highshool,sale,0,0,0,9360
400,northern,male,,middle,15,bachelor,officer,0,0,0,12060
401,northern,male,72,elder,12,highshool,sale,1,0,0,10200
402,northern,male,62,middle,15,bachelor,officer,1,0,0,10800
403,northern,female,59,middle,12,highshool,officer,1,1,0,
404,southern,male,68,middle,8,highshool,officer,0,0,0,8760
405,central,female,68,middle,15,bachelor,sale,1,0,0,13020
406,central,male,65,middle,17,master,sale,1,0,0,31400
407,southern,female,45,middle,12,highshool,officer,0,0,0,8400
408,southern,female,74,elder,12,highshool,sale,0,0,0,8160
409,central,male,67,middle,16,master,sale,0,0,0,18100
410,central,female,68,middle,15,bachelor,sale,1,0,0,13020
411,northern,male,67,middle,12,highshool,officer,1,1,0,10680
412,southern,female,69,middle,12,highshool,officer,0,0,0,8940
413,northern,male,69,middle,15,bachelor,sale,0,0,0,11340
414,central,male,33,youth,8,highshool,sale,1,0,0,12300
415,central,male,66,middle,12,highshool,officer,1,0,1,14220
416,northern,female,56,middle,15,bachelor,officer,1,1,0,11940
417,central,female,68,middle,16,master,sale,1,0,0,22300
418,central,male,66,middle,19,master,sale,1,0,0,30000
419,central,male,66,middle,16,master,officer,0,0,1,13980
420,northern,female,50,middle,12,highshool,officer,1,0,0,9600
421,southern,female,72,elder,12,highshool,sale,1,0,0,
422,southern,female,51,middle,8,highshool,officer,1,0,0,8760
423,southern,female,,youth,15,bachelor,officer,0,0,0,8280
424,southern,female,43,middle,12,highshool,officer,1,0,0,6900
425,northern,male,67,middle,15,bachelor,officer,1,0,0,10680
426,northern,female,53,middle,12,highshool,officer,0,1,0,9840
427,central,male,63,middle,19,master,manager,1,1,1,38800
428,southern,female,39,youth,8,highshool,officer,0,0,0,6960
429,northern,male,65,middle,15,bachelor,officer,0,0,0,10740
430,central,male,67,middle,12,highshool,sale,0,0,0,14460
431,northern,male,64,middle,12,highshool,sale,0,0,0,10800
432,southern,female,51,middle,8,highshool,officer,0,0,0,
433,southern,female,36,youth,12,highshool,officer,1,1,0,6780
434,central,male,66,middle,16,master,officer,1,0,1,21060
435,central,male,66,middle,16,master,sale,1,0,0,21250
436,northern,female,73,elder,12,highshool,sale,0,0,0,12240
437,northern,female,66,middle,12,highshool,officer,0,0,0,10080
438,northern,female,36,youth,8,highshool,officer,0,0,0,11640
439,southern,female,72,elder,12,highshool,sale,1,0,0,7260
440,central,female,44,middle,16,master,manager,0,0,0,16620
441,southern,female,74,elder,12,highshool,sale,0,0,0,
442,central,male,,middle,19,master,sale,0,0,0,31250
443,northern,female,56,middle,12,highshool,officer,0,0,0,9720
444,central,male,44,middle,12,highshool,sale,1,0,1,12300
445,northern,female,68,middle,16,master,sale,0,1,0,9300
446,northern,female,73,elder,12,highshool,sale,1,0,0,10440
447,northern,female,69,middle,15,bachelor,officer,0,0,0,9600
448,northern,female,52,middle,12,highshool,officer,1,1,0,9780
449,northern,male,69,middle,8,highshool,sale,1,1,0,11340
450,southern,female,49,middle,16,master,officer,1,1,0,9240
451,central,male,63,middle,18,master,manager,1,1,1,34500
452,southern,female,73,elder,12,highshool,sale,1,1,0,9240
453,northern,female,51,middle,8,highshool,officer,1,0,0,
454,northern,female,65,middle,12,highshool,officer,0,0,0,11400
455,southern,female,73,elder,8,highshool,sale,0,0,0,9000
456,northern,female,73,elder,12,highshool,sale,0,0,0,9360
457,central,female,69,middle,15,bachelor,sale,1,0,0,14220
458,southern,female,46,middle,12,highshool,officer,1,0,0,7380
459,southern,female,36,youth,12,highshool,officer,0,1,0,6540
460,central,male,64,middle,19,master,sale,1,0,0,29400
461,central,male,69,middle,16,master,sale,0,0,1,28000
462,northern,male,67,middle,12,highshool,officer,1,0,0,12180
463,central,male,37,youth,12,highshool,sale,0,0,0,14100
464,southern,female,44,middle,15,bachelor,officer,1,0,0,8940
465,northern,male,69,middle,15,bachelor,sale,0,0,0,10140
466,northern,male,68,middle,15,bachelor,sale,0,0,0,12120
467,northern,female,72,elder,12,highshool,sale,0,0,0,11760
468,northern,male,57,middle,12,highshool,officer,1,1,0,11640
469,northern,male,72,elder,15,bachelor,officer,0,0,0,11400
